ID,F1,F2,F3,F4,F5,F6,F7,F8
Q1,3707.9151930000003,3741.1063860000004,3774.2975790000005,3807.4887720000006,3840.6799650000007,3873.871158000001,3907.062351000001,3940.253544000001
Q2,7044.703809295973,7006.592894188079,6928.094778955407,6884.769355092067,6909.707153000588,6996.774807022685,7096.608510106793,7158.8833221150935
Q3,1090.7825908622538,1088.303720902966,1091.345948009746,1104.9331584396452,1102.4052228804105,1105.177801663448,1103.4425136051657,1105.2335465528442
Q4,13869.0895896,14085.504250465077,14305.295867339759,14528.517134583315,14755.221568803066,14985.463521684827,15219.29819302355,15456.781643957309
Q5,10019.76740532,9927.890103091991,9861.123786335918,9812.605371612448,9777.347524817049,9751.726000129302,9733.107094353962,9719.57692171608
Q6,3557.704474862044,2837.395660855222,2500.2792526824746,2168.777081432654,1827.7005744879232,1569.7091891420166,1400.5721106597357,1370.1220928348207
Q7,4752.523545379918,4599.662468271175,4351.445340572807,3984.237537562037,3927.637465867964,4200.082761290545,4563.361367333173,4678.993783570317
Q8,4620.913442417339,6938.007243975851,1082.928648475669,898.703201435668,1357.7050778015234,1498.1269746585253,1414.5980213192204,2872.288241210194
Q9,1132.2996398512723,1138.168460657693,1138.124340274095,1139.9875696159509,1141.2385450748898,1142.689056297577,1144.0775569360765,1145.488316967405
Q10,2736.762392913294,2730.5633526496295,2708.0868122875013,2720.7580167435435,2729.815271801211,2752.418184964082,2731.0836738092567,2719.07859373648
